ds,y,exp_mean,adaptive,mich
2011-01-01,1.7007834915029774,3.028728972810384,2.6211113889767157,2.8
2011-02-01,2.124898173333145,2.7949626996059185,2.151336357866529,2.7
2011-03-01,2.619241510354109,3.5409581888785544,2.2861714393279886,2.7
2011-04-01,3.0772344447868694,4.055390790630992,2.2067707525304403,2.9
2011-05-01,3.4589718808964998,3.1509057838978705,2.003548929218568,3.2
2011-06-01,3.5023181506360412,3.099649317860837,1.1215605940686268,2.8
2011-07-01,3.5798809769996165,2.860773217169386,1.3407784804821077,2.7
2011-08-01,3.75499603070808,2.9070643266466782,1.1501775395112546,2.7
2011-09-01,3.812621692818685,2.6534891017459046,1.1183122472331775,2.2
2011-10-01,3.5222681306640524,2.833828090076077,1.1666951489314625,2.7
2011-11-01,3.451432214581729,2.8902448774813463,1.084544776600338,3.0
2011-12-01,3.062066838419386,2.6424018801164855,1.437793022217937,3.0
2012-01-01,3.0087663379855023,2.8096086337019837,1.7007834915029774,3.4
2012-02-01,2.8981784423473878,3.172310925070532,2.124898173333145,3.4
2012-03-01,2.5828752813320977,2.798961227801768,2.619241510354109,4.6
2012-04-01,2.2731633741348567,2.528453841571383,3.0772344447868694,4.6
2012-05-01,1.7379429374660749,1.7821235208088493,3.4589718808964998,4.1
2012-06-01,1.653870448297634,1.6083369672898966,3.5023181506360412,3.8
2012-07-01,1.4175114798464783,1.299252824918434,3.5798809769996165,3.4
2012-08-01,1.6859349154821235,1.9182185709639474,3.75499603070808,3.5
2012-09-01,1.9497168982819613,2.159782983977183,3.812621692818685,3.3
2012-10-01,2.1556780595369363,1.781939586221371,3.5222681306640524,3.2
2012-11-01,1.7960197033926262,1.7240835868734439,3.451432214581729,3.2
2012-12-01,1.7595049796895523,1.5946116899585576,3.062066838419386,3.1
2013-01-01,1.684061762098299,1.8656378001491243,3.0087663379855023,3.3
2013-02-01,2.0181404902574807,2.153613568911566,2.8981784423473878,3.3
2013-03-01,1.5187472411246183,1.6086159208348885,2.5828752813320977,3.9
2013-04-01,1.138808047576867,1.444045057657038,2.2731633741348567,3.2
2013-05-01,1.3903888279197085,1.2181564770356041,1.7379429374660749,3.0
2013-06-01,1.7157935271568725,1.424785810659188,1.653870448297634,3.1
2013-07-01,1.885471805415806,1.1797598751881138,1.4175114798464783,3.0
2013-08-01,1.538809488600279,1.2933130129908754,1.6859349154821235,3.6
2013-09-01,1.0947341081747997,1.6430565267017951,1.9497168982819613,3.3
2013-10-01,0.8767991434911471,1.0310689689638886,2.1556780595369363,3.1
2013-11-01,1.2328701961954458,0.9800995007032596,1.7960197033926262,3.1
2013-12-01,1.5128383667573297,1.0938093025170026,1.7595049796895523,3.2
2014-01-01,1.557758795574915,1.4398022242104422,1.684061762098299,3.3
2014-02-01,1.1204746347724948,1.4194806416529875,2.0181404902574807,3.3
2014-03-01,1.6126949139408042,1.3687091278413215,1.5187472411246183,3.2
2014-04-01,2.015125303606169,1.0457877941781386,1.138808047576867,3.1
2014-05-01,2.166947687079812,1.3168701696646061,1.3903888279197085,3.1
2014-06-01,2.0589816945944195,1.4443317529281403,1.7157935271568725,3.0
2014-07-01,1.9742378703305974,1.1335824810502855,1.885471805415806,3.1
2014-08-01,1.7150983482969062,1.1478147021742506,1.538809488600279,3.0
2014-09-01,1.6840509711232077,1.1653438817307853,1.0947341081747997,3.3
2014-10-01,1.6095417021513292,0.5744022876448649,0.8767991434911471,3.0
